Temperature_C,Humidity_pct,Smoke_ppm,Fire_Sensor,Wind_kmh,ForestFire
38.5,70.2,12.0,0,3.9,0
34.0,61.6,27.0,0,7.1,1
39.5,46.1,39.0,0,3.2,0
45.7,33.4,247.0,0,6.2,0
33.4,57.6,85.0,0,0.0,1
33.4,52.1,19.0,0,9.3,0
46.1,61.1,81.0,0,8.0,0
40.4,56.4,16.0,0,3.1,0
31.7,63.9,130.0,1,12.0,1
38.8,35.4,37.0,0,13.6,0
31.8,68.7,51.0,0,0.0,0
31.7,48.6,158.0,0,3.4,0
36.7,82.4,19.0,0,3.4,0
21.6,32.6,18.0,0,2.4,0
22.9,76.2,34.0,0,13.0,0
31.1,48.6,125.0,1,6.8,1
27.9,33.3,16.0,0,6.4,1
37.2,36.3,6.0,0,0.0,0
28.6,39.2,38.0,0,11.8,1
25.1,52.6,85.0,0,0.6,0
45.3,54.4,143.0,0,8.4,0
33.4,34.7,38.0,0,9.7,0
35.5,44.6,39.0,1,16.2,1
25.0,83.6,137.0,0,0.1,0
31.2,76.1,12.0,0,0.0,1
35.8,52.9,40.0,0,9.1,1
26.9,45.7,64.0,0,18.8,0
37.6,47.2,78.0,1,15.4,1
30.8,56.0,36.0,0,9.3,0
33.0,26.6,56.0,0,5.1,1
30.8,40.4,7.0,0,12.8,1
48.0,15.0,32.0,0,2.2,1
34.9,52.2,78.0,0,10.9,0
27.6,56.6,25.0,0,11.0,0
40.8,36.3,57.0,0,14.4,0
26.5,73.3,78.0,0,24.6,0
36.5,22.9,42.0,0,10.4,1
21.3,18.6,63.0,0,4.9,0
25.7,49.0,25.0,0,7.8,1
36.4,63.8,46.0,0,0.0,0
40.2,75.3,89.0,0,3.8,0
36.2,36.7,62.0,0,5.5,1
34.2,64.4,34.0,0,4.9,0
32.9,44.3,65.0,0,8.9,0
24.7,41.9,97.0,0,3.1,1
30.0,60.9,11.0,0,14.7,1
31.8,56.7,138.0,0,8.0,1
42.4,16.6,42.0,0,7.9,0
37.4,71.6,77.0,0,6.0,0
22.7,69.8,142.0,0,8.9,1
37.3,33.7,18.0,1,13.0,1
32.3,52.1,31.0,0,2.8,0
30.3,53.9,43.0,0,4.1,0
39.3,49.7,29.0,0,6.2,1
42.2,35.1,219.0,0,0.0,1
41.5,32.9,28.0,0,3.1,1
29.1,44.5,35.0,0,5.1,0
32.8,66.1,64.0,0,13.2,0
37.3,54.8,21.0,0,9.6,1
41.8,38.3,40.0,0,9.2,0
31.6,58.9,70.0,0,13.1,0
33.7,5.0,42.0,1,7.2,1
27.3,65.7,51.0,0,10.3,1
26.6,13.7,36.0,0,7.4,0
40.7,38.5,16.0,0,9.6,1
44.5,24.8,71.0,1,4.5,1
34.5,21.7,222.0,0,0.0,1
42.0,65.9,55.0,0,7.2,1
37.5,36.6,65.0,0,16.5,1
30.5,51.2,95.0,0,13.6,0
37.5,44.2,20.0,0,13.8,1
45.8,53.6,213.0,0,15.4,0
34.7,46.4,64.0,0,8.5,1
46.0,21.9,201.0,0,9.2,1
16.7,62.9,30.0,0,4.3,0
40.8,36.1,234.0,0,6.1,1
35.6,17.0,102.0,0,11.7,1
32.9,37.3,85.0,0,15.2,1
35.6,72.0,66.0,0,7.2,0
21.1,60.3,45.0,0,5.3,0
33.5,38.7,143.0,0,8.0,1
37.5,38.7,61.0,0,11.6,0
45.3,39.2,11.0,0,0.0,1
31.4,82.4,22.0,0,0.0,1
29.3,51.9,47.0,0,4.7,1
31.5,52.7,70.0,0,0.7,0
41.4,63.5,52.0,0,5.0,1
37.3,49.3,145.0,0,7.1,1
31.3,40.3,11.0,0,5.3,1
38.6,41.5,61.0,1,16.7,1
35.7,43.7,13.0,0,10.0,0
41.8,44.3,100.0,0,9.8,1
30.1,58.1,51.0,0,11.7,1
32.7,45.9,76.0,0,1.2,0
32.3,58.2,27.0,0,14.2,1
24.8,43.5,152.0,0,7.5,0
37.1,46.4,126.0,0,12.0,0
36.8,9.0,87.0,0,1.6,1
35.0,61.5,49.0,0,0.0,0
33.4,51.2,87.0,0,12.9,1
25.1,63.0,31.0,0,10.3,0
32.1,5.0,108.0,1,2.6,1
32.6,82.6,204.0,0,2.8,0
29.4,42.5,129.0,0,14.8,0
33.9,64.9,30.0,0,0.9,0
37.8,26.3,73.0,1,17.9,0
48.2,56.0,19.0,0,2.6,0
36.2,26.0,86.0,0,11.8,1
36.8,33.8,78.0,0,6.0,1
34.5,79.5,12.0,0,11.6,0
21.6,41.6,22.0,0,4.7,0
34.8,48.9,44.0,0,7.0,1
35.4,60.7,43.0,0,8.2,0
52.2,53.9,21.0,0,2.0,1
33.7,47.7,75.0,0,12.4,1
37.1,51.6,67.0,0,4.9,1
34.8,88.3,47.0,0,6.6,0
26.8,44.0,30.0,0,2.0,0
43.0,48.6,126.0,0,0.0,0
40.3,63.9,205.0,0,6.9,1
40.5,64.9,37.0,0,22.5,0
28.6,66.4,33.0,0,12.7,1
44.8,56.5,81.0,0,7.9,0
25.2,24.4,41.0,0,6.4,0
39.1,74.4,49.0,0,8.1,0
50.3,24.4,99.0,1,11.3,1
28.1,50.4,12.0,0,0.9,0
31.0,31.4,157.0,0,14.7,1
35.7,43.8,58.0,0,12.3,0
31.5,50.9,39.0,0,12.3,1
24.1,50.8,51.0,0,10.6,1
35.5,52.6,53.0,0,8.1,1
27.6,74.0,14.0,0,12.0,0
38.3,53.2,181.0,0,11.6,0
28.6,40.6,56.0,0,5.9,0
45.8,62.4,78.0,0,4.6,0
29.5,66.4,117.0,0,8.6,0
32.7,22.9,24.0,0,17.3,0
40.7,55.8,80.0,0,0.6,0
26.4,57.6,44.0,0,0.0,0
36.6,39.6,107.0,0,9.0,1
44.1,69.8,10.0,0,8.3,0
23.7,42.3,50.0,0,9.0,1
36.3,47.3,34.0,0,9.5,0
36.8,41.9,77.0,0,6.7,0
40.5,45.3,80.0,0,16.9,1
26.3,25.3,31.0,0,0.0,1
25.8,19.1,31.0,0,3.0,0
38.7,73.7,50.0,0,7.4,1
37.1,29.8,27.0,0,0.0,0
36.8,27.2,107.0,0,6.9,1
37.4,6.2,41.0,0,18.0,0
30.2,33.5,5.0,0,8.1,1
36.6,21.2,40.0,1,9.4,1
37.1,74.6,24.0,0,0.4,0
30.0,63.2,15.0,0,4.3,0
48.1,32.6,20.0,1,5.7,1
38.3,85.5,60.0,0,6.1,0
26.7,62.7,158.0,0,15.7,0
39.6,39.2,70.0,0,11.3,0
28.2,5.0,34.0,0,1.3,0
40.5,86.2,79.0,0,9.5,0
43.1,20.0,38.0,0,11.0,1
29.3,15.4,31.0,1,14.8,1
41.7,63.4,22.0,0,17.5,0
37.9,88.9,13.0,0,1.9,0
40.8,69.9,40.0,1,3.1,1
48.3,55.2,62.0,0,0.5,1
33.3,55.7,51.0,0,6.6,0
29.7,60.4,39.0,0,10.8,1
28.8,58.7,26.0,0,13.9,0
29.3,50.1,89.0,0,7.5,0
34.5,46.9,19.0,0,6.1,0
37.4,43.9,102.0,0,8.9,0
36.9,31.4,24.0,0,3.0,1
40.8,39.9,30.0,0,20.5,0
35.1,14.5,17.0,0,0.0,1
45.2,43.2,37.0,0,9.1,0
33.1,27.2,119.0,0,20.1,0
54.0,25.1,82.0,0,8.0,1
39.4,48.2,119.0,0,6.9,1
29.0,70.1,83.0,0,5.9,1
27.5,61.5,23.0,0,6.9,1
38.4,16.7,42.0,0,16.2,1
33.4,27.2,29.0,0,0.0,0
40.0,61.9,158.0,0,17.2,0
38.3,27.3,21.0,0,0.0,0
34.5,41.0,112.0,0,6.4,1
29.1,54.9,112.0,0,5.4,0
24.4,27.6,236.0,0,11.5,1
31.9,46.9,39.0,0,0.0,1
41.0,21.0,97.0,1,10.8,1
36.5,34.2,339.0,0,20.1,1
26.3,50.8,33.0,0,0.0,0
36.2,16.3,16.0,0,9.1,1
37.7,52.9,12.0,0,4.0,1
28.8,44.6,97.0,0,10.6,0
